Tree num,m1,m2,m3,Average,,,,
202,66.73,66.48,66.27,66.49333333,,,,
202,66.73,66.48,66.27,66.49333333,,,,
203,79.01,79.03,79.11,79.05,,,,
204,65.37,65.3,64.61,65.09333333,,,,
205,61.77,61.21,61.44,61.47333333,,,,
206,59.08,58.99,59.14,59.07,,,,
207,75.2,74.61,75.59,75.13333333,,,,
208,61.17,61.33,60.9,61.13333333,,,,
209,57.52,57.3,56.86,57.22666667,,,,
210,70,69.88,72.24,70.70666667,,,,
211,73.99,74.25,74.61,74.28333333,,,,
212,70.46,61.86,68.96,67.09333333,,,,
213,67.01,67.62,66.25,66.96,,,,
214,73.77,73.92,72.29,73.32666667,,,,
215,65.77,65.29,64.23,65.09666667,,,,
216,82.85,82.17,81.44,82.15333333,,,,
217,62.55,62.16,62.23,62.31333333,,,,
218,66.96,66.83,66.9,66.89666667,,,,
219,76.24,75.36,75.12,75.57333333,,,,
220,83.56,82.94,84.9,83.8,,,,
221,76.58,76.42,76.73,76.57666667,,,,
222,70.48,70.17,71.11,70.58666667,,,,
223,74.13,73.04,75.11,74.09333333,,,,
224,67.88,67.04,67.84,67.58666667,,,,
225,53.9,53.46,54.72,54.02666667,,,,
226,59.46,58.84,58.21,58.83666667,,,,
227,59.52,59.79,61.19,60.16666667,,,,
228,69.95,69.4,69.37,69.57333333,,,,
229,61.33,61.35,60.67,61.11666667,,,,
230,78.45,78.02,77.85,78.10666667,,,,
231,71.97,71.38,71.97,71.77333333,,,,
232,60.83,60.52,60.4,60.58333333,,,,
233,73.97,73.22,72.87,73.35333333,,,,
234,73.57,74.55,73.43,73.85,,,,
235,71.95,70.51,69.81,70.75666667,,,,
236,61.78,62.35,62.14,62.09,,,,
237,69.2,68.42,66.91,68.17666667,,,,
238,71.14,70.29,69.3,70.24333333,,,,
239,64.2,64.29,64.86,64.45,,,,
240,63.95,63.04,61.92,62.97,,,,
241,59.99,62.04,60.22,60.75,,,,
242,76.46,76.02,76.44,76.30666667,,,,
243,71.56,70.64,70.67,70.95666667,,,,
244,69.73,69.81,69.52,69.68666667,,,,
245,71.43,70.71,71.19,71.11,,,,
246,51.46,51.76,52.8,52.00666667,,,,
247,58.29,59.11,58.7,58.7,,,,
248,61.68,61.93,63.06,62.22333333,,,,
249,80.04,79.28,79.73,79.68333333,,,,
250,76.7,75.39,75.95,76.01333333,,,,
251,70.26,70.74,70.13,70.37666667,,,,
252,59.01,58.91,58.52,58.81333333,,,,
253,70.51,70.38,70.52,70.47,,,,
254,66.79,67.03,67.33,67.05,,,,
255,60.92,61.64,61.71,61.42333333,,,,
256,71.46,71.11,71.28,71.28333333,,,,
257,63.17,63.24,63.15,63.18666667,,,,
258,68.84,68.29,69.22,68.78333333,,,,
259,73.74,73.85,73.92,73.83666667,,,,
260,64.3,64.57,63.83,64.23333333,,,,
261,78.84,77.63,78.09,78.18666667,,,,
262,85.07,87.14,86.23,86.14666667,,,,
263,60.07,59.49,60.05,59.87,,,,
264,70.53,69.78,70.14,70.15,,,,
265,57.1,57.4,57.35,57.28333333,,,,
266,72.19,71.21,70.45,71.28333333,,,,
267,60.8,60.73,61.11,60.88,,,,
268,63.36,64.42,63.03,63.60333333,,,,
269,74.62,74.61,74.69,74.64,,,,
270,57.86,56.17,56.71,56.91333333,,,,
271,67.34,66.92,67.39,67.21666667,,,,
272,71.64,71.62,71.13,71.46333333,,,,
273,67.06,67.72,67.4,67.39333333,,,,
274,70.33,70.27,70.15,70.25,,,,
275,65.54,65.52,65.35,65.47,,,,
276,67.68,68.66,67.69,68.01,,,,
277,59.05,59.99,59.2,59.41333333,,,,
278,64.71,64.77,64.18,64.55333333,,,,
279,74.49,75.37,74.3,74.72,,,,
280,60.71,60.72,60.79,60.74,,,,
281,75.38,75.34,75.15,75.29,,,,
282,69.04,68.45,69.31,68.93333333,,,,
283,68.41,67.21,68.9,68.17333333,,,,
284,69.65,70.06,69.83,69.84666667,,,,
285,61.14,60.94,61.42,61.16666667,,,,
286,64.96,65.82,65.17,65.31666667,,,,
287,70.12,70.22,70.14,70.16,,,,
288,68.61,68.77,66.04,67.80666667,,,,
289,73.12,72.454,73.47,73.01466667,,,,
290,52.26,53.1,51.45,52.27,,,,
291,72.09,72.38,78.67,74.38,,,,
292,39.68,39.12,39.75,39.51666667,,,,
293,72.4,72.28,73.35,72.67666667,,,,
294,62.49,61.77,62.81,62.35666667,,,,
295,67.56,67.89,67.66,67.70333333,,,,
296,77.41,78.75,78.28,78.14666667,,,,
297,78.54,80.06,78.1,78.9,,,,
298,65.34,65.69,65.4,65.47666667,,,,
299,63.43,64.12,64.08,63.87666667,,average trunk width:,,67.71961333
300,73.24,73.21,74.3,73.58333333,,,,
